text,label
Scientists have discovered a new species of deep-sea fish in the Pacific Ocean. The research team published their findings in Nature magazine.,0
A new study from Harvard Medical School shows that regular exercise can reduce the risk of heart disease by up to 30 percent.,0
A new study from Harvard Medical School shows that regular exercise can reduce the risk of heart disease by up to 30 percent.,0
Insider reveals: All politicians are actually reptilian aliens in disguise! Evidence finally surfaces!,1
Revolutionary discovery: Scientists prove that the Earth is actually flat and NASA has been lying!,1
The Nobel Prize in Physics was awarded to researchers for their work on quantum computing.,0
Scientists baffled: Woman gives birth to alien baby with superpowers! Photos leaked online!,1
Government plans to implant tracking chips in everyone next month! Wake up people!,1
"Unbelievable: Man survives 40 days without food or water, doctors are baffled by this miracle!",1
Government plans to implant tracking chips in everyone next month! Wake up people!,1
"Miracle cure discovered! This common household item cures cancer, diabetes, and all diseases instantly!",1
You won't believe what this celebrity said! Doctors hate them for revealing this one weird trick!,1
"Unbelievable: Man survives 40 days without food or water, doctors are baffled by this miracle!",1
The World Health Organization reported a significant decline in malaria cases in Africa due to improved prevention methods.,0
A major archaeological discovery in Egypt reveals previously unknown details about ancient civilization.,0
The World Health Organization reported a significant decline in malaria cases in Africa due to improved prevention methods.,0
Climate scientists warn that Arctic ice is melting faster than previously predicted based on satellite data.,0
Government insider leaks documents proving that birds are actually surveillance drones!,1
Climate scientists warn that Arctic ice is melting faster than previously predicted based on satellite data.,0
A comprehensive study shows that renewable energy now accounts for 30 percent of global electricity production.,0
The World Health Organization reported a significant decline in malaria cases in Africa due to improved prevention methods.,0
A new study from Harvard Medical School shows that regular exercise can reduce the risk of heart disease by up to 30 percent.,0
Government insider leaks documents proving that birds are actually surveillance drones!,1
Breaking: Popular food item contains secret ingredient that controls your thoughts! Share immediately!,1
Breaking news: Famous actor claims to have discovered the fountain of youth in their backyard!,1
A new study from Harvard Medical School shows that regular exercise can reduce the risk of heart disease by up to 30 percent.,0
The Supreme Court will hear arguments on a landmark case regarding digital privacy rights next month.,0
"Shocking truth revealed: Moon landing was faked in a Hollywood studio, whistleblower exposes conspiracy!",1
A major archaeological discovery in Egypt reveals previously unknown details about ancient civilization.,0
Scientists confirm that eating chocolate cake for breakfast will make you lose 50 pounds in one week!,1
The European Union reached a trade agreement with Asian nations worth $200 billion annually.,0
Shocking discovery: Ancient aliens built the pyramids and the government has been hiding the evidence!,1
Revolutionary discovery: Scientists prove that the Earth is actually flat and NASA has been lying!,1
Scientists have discovered a new species of deep-sea fish in the Pacific Ocean. The research team published their findings in Nature magazine.,0
Medical researchers announced progress in developing a universal flu vaccine that could work for multiple years.,0
Breaking news: Famous actor claims to have discovered the fountain of youth in their backyard!,1
"Unbelievable: Man survives 40 days without food or water, doctors are baffled by this miracle!",1
Celebrity predicts the end of the world next Tuesday based on ancient prophecy! Prepare now!,1
Celebrity predicts the end of the world next Tuesday based on ancient prophecy! Prepare now!,1
"The International Space Station completed its 100,000th orbit around Earth after 23 years in operation.",0
NASA's James Webb telescope captured stunning images of a distant galaxy formed 13 billion years ago.,0
Climate scientists warn that Arctic ice is melting faster than previously predicted based on satellite data.,0
The Supreme Court will hear arguments on a landmark case regarding digital privacy rights next month.,0
The Nobel Prize in Physics was awarded to researchers for their work on quantum computing.,0
Scientists have discovered a new species of deep-sea fish in the Pacific Ocean. The research team published their findings in Nature magazine.,0
Celebrity predicts the end of the world next Tuesday based on ancient prophecy! Prepare now!,1
Scientists confirm that eating chocolate cake for breakfast will make you lose 50 pounds in one week!,1
A peer-reviewed study published in Science journal reveals new insights into Alzheimer's disease progression.,0
Miracle weight loss: Lose 100 pounds in 3 days without diet or exercise! Doctors stunned!,1
"The Federal Reserve announced today that interest rates will remain unchanged at 5.5 percent, citing economic stability.",0
The Nobel Prize in Physics was awarded to researchers for their work on quantum computing.,0
Amazing discovery: Bermuda Triangle mystery finally solved by local fisherman! You won't believe this!,1
"Economic data shows unemployment rates have dropped to 3.8 percent, the lowest in two years.",0
The European Union reached a trade agreement with Asian nations worth $200 billion annually.,0
The European Union reached a trade agreement with Asian nations worth $200 billion annually.,0
Scientists have discovered a new species of deep-sea fish in the Pacific Ocean. The research team published their findings in Nature magazine.,0
NASA's James Webb telescope captured stunning images of a distant galaxy formed 13 billion years ago.,0
Major technology companies announced plans to invest $50 billion in renewable energy infrastructure over the next decade.,0
NASA's James Webb telescope captured stunning images of a distant galaxy formed 13 billion years ago.,0
The United Nations climate summit concluded with 195 countries agreeing to reduce carbon emissions by 2030.,0
BREAKING: Government secretly testing mind control technology on citizens through 5G towers and vaccines!,1
New legislation aims to strengthen cybersecurity measures for critical infrastructure nationwide.,0
A peer-reviewed study published in Science journal reveals new insights into Alzheimer's disease progression.,0
NASA's James Webb telescope captured stunning images of a distant galaxy formed 13 billion years ago.,0
The World Health Organization reported a significant decline in malaria cases in Africa due to improved prevention methods.,0
Incredible breakthrough: Drink this juice and never age again! Big pharma is trying to suppress it!,1
A major archaeological discovery in Egypt reveals previously unknown details about ancient civilization.,0
The World Health Organization reported a significant decline in malaria cases in Africa due to improved prevention methods.,0
Celebrity predicts the end of the world next Tuesday based on ancient prophecy! Prepare now!,1
"Economic data shows unemployment rates have dropped to 3.8 percent, the lowest in two years.",0
Billionaire reveals secret: This simple method will make you rich overnight! Banks don't want you to know!,1
Scientists have discovered a new species of deep-sea fish in the Pacific Ocean. The research team published their findings in Nature magazine.,0
A major archaeological discovery in Egypt reveals previously unknown details about ancient civilization.,0
Major technology companies announced plans to invest $50 billion in renewable energy infrastructure over the next decade.,0
Billionaire reveals secret: This simple method will make you rich overnight! Banks don't want you to know!,1
Economic forecasts predict moderate GDP growth of 2.5 percent for the upcoming fiscal year.,0
A major archaeological discovery in Egypt reveals previously unknown details about ancient civilization.,0
"Miracle cure discovered! This common household item cures cancer, diabetes, and all diseases instantly!",1
Incredible breakthrough: Drink this juice and never age again! Big pharma is trying to suppress it!,1
